"year","ctol","se"
"2008","2008",0.263149016067466,0.736850983932534,0.0418505959673115,0.0418505959673115
"2010","2010",0.241012040586915,0.758987959413085,0.0435132482930583,0.0435132482930583
"2012","2012",0.344666666666667,0.655333333333333,0.0418073696840256,0.0418073696840256
"2014","2014",0.347884486232371,0.652115513767629,0.0410895748529352,0.0410895748529352
"2016","2016",0.335922330097087,0.664077669902913,0.0406609505605299,0.0406609505605299
"2019","2019",0.337899543378995,0.662100456621004,0.0394047117868519,0.0394047117868519
"year","extpol","se"
"2004","2004",0,0
"2006","2006",0,0
"2008","2008",0.31422826094315,0.014908804176248
"2010","2010",0.313487882716358,0.014585971563348
"2012","2012",0.389655172413793,0.0162017234014586
"2014","2014",0.353062629043359,0.0169368514988695
"2016","2016",0.419291338582677,0.0132768596528664
"2019","2019",0.396065573770492,0.0139854099881865
"year","knowspol","se"
"2004","2004",0,0
"2006","2006",0,0
"2008","2008",0.378499720731074,0.0158537930212391
"2010","2010",0.390299736838435,0.0170708718962338
"2012","2012",0.387741046831956,0.0179343392747936
"2014","2014",0.38551724137931,0.0158334018961792
"2016","2016",0.414858645627876,0.0134015050361678
"2019","2019",0.464900662251656,0.0120674891554132
"year","prot3No","prot3Yes","se.prot3No","se.prot3Yes"
"2004","2004",0,0,0,0
"2006","2006",0,0,0,0
"2008","2008",0,0,0,0
"2010","2010",0.921059131675172,0.0789408683248283,0.00750786607341239,0.00750786607341239
"2012","2012",0.93029490616622,0.0697050938337802,0.00775633654791726,0.00775633654791726
"2014","2014",0.931833674164963,0.0681663258350375,0.00894407064589219,0.00894407064589219
"2016","2016",0.953307392996109,0.0466926070038911,0.00554644339503878,0.00554644339503878
"2019","2019",0.923429319371728,0.0765706806282722,0.00656079486915874,0.00656079486915874
"year","corrper","se"
"2004","2004",0.826360572012083,0.0180548159796217
"2006","2006",0.920422712503336,0.00695689288819127
"2008","2008",0.842127088404404,0.010841406498673
"2010","2010",0.789442886627287,0.0130692053329395
"2012","2012",0.77295733911786,0.0139443802821616
"2014","2014",0.702949438202247,0.0173957110250882
"2016","2016",0.834924965893588,0.0097229456386645
"2019","2019",0.776968894771674,0.00976562378729896
"year","corr_exp","se"
"2004","2004",0.94708230116925,0.00946248725023725
"2006","2006",0.979184101771186,0.00676529476501046
"2008","2008",0.921593489068013,0.0266769337263304
"2010","2010",0.981146683168343,0.00765120104853723
"2012","2012",0.35432473444613,0.019460210691821
"2014","2014",0.269655172413793,0.0200519069062679
"2016","2016",0.276872964169381,0.0122507793693489
"2019","2019",0.267105263157895,0.0131670171692473
